container_code,organisation_id,schedule_code
"1","3","3834"
"1","34","3834"
"1","1409","3834"
"1","1410","3834"
"2","3","3834"
"2","1409","3834"
"2","1410","3834"
"3","3","3834"
"4","3","3834"
"4","1409","3834"
"5","3","3834"
"6","3","3834"
"6","34","3834"
"6","57","3834"
"6","1409","3834"
"6","1410","3834"
"7","3","3834"
"8","3","3834"
"8","34","3834"
"8","57","3834"
"8","1408","3834"
"8","1409","3834"
"8","1410","3834"
"9","1409","3834"
"9","1410","3834"
"10","34","3834"
"10","1410","3834"
"11","3","3834"
"11","34","3834"
"11","1408","3834"
"11","1409","3834"
"11","1410","3834"
"12","1409","3834"
"13","57","3834"
"13","1409","3834"
"14","1409","3834"
"14","1410","3834"
"15","57","3834"
"15","1409","3834"
"15","1410","3834"
"16","1410","3834"
"17","1409","3834"
"17","1410","3834"
"18","57","3834"
"18","1409","3834"
"18","1410","3834"
"19","4","3834"
"54305","1409","3834"
"54306","1409","3834"
"54306","1410","3834"
"54307","4","3834"
