criteria_prescribing_txt_id,parameter_prescribing_txt_id,pt_position,schedule_code
"7601","7600","1","3834"
"7603","7602","1","3834"
"7613","7612","1","3834"
"7701","7700","1","3834"
"7705","7704","1","3834"
"7715","7713","1","3834"
"7715","7714","2","3834"
"7717","7716","1","3834"
"7719","7718","1","3834"
"7721","7720","1","3834"
"7723","7722","1","3834"
"7727","7726","1","3834"
"7736","7735","1","3834"
"7736","7714","2","3834"
"7738","7737","1","3834"
"7745","7744","1","3834"
"7773","7772","1","3834"
"7779","7778","1","3834"
"7781","7780","1","3834"
"7792","7791","1","3834"
"7844","7843","1","3834"
"7848","7847","1","3834"
"7853","7852","1","3834"
"7855","7854","1","3834"
"7859","7858","1","3834"
"7863","7862","1","3834"
"7875","7874","1","3834"
"7880","7879","1","3834"
"7890","7889","1","3834"
"7897","7896","1","3834"
"7899","7898","1","3834"
"7904","7903","1","3834"
"7908","7907","1","3834"
"7910","7909","1","3834"
"7914","7913","1","3834"
"7916","7915","1","3834"
"7934","7933","1","3834"
"7970","7969","1","3834"
"7986","7985","1","3834"
"7989","7988","1","3834"
"7996","7995","1","3834"
"8002","8001","1","3834"
"8006","8005","1","3834"
"8008","8007","1","3834"
"8013","8012","1","3834"
"8018","8017","1","3834"
"8024","8023","1","3834"
"8052","8051","1","3834"
"8057","8055","1","3834"
"8057","8056","2","3834"
"8059","8058","1","3834"
"8066","8065","1","3834"
"8071","8070","1","3834"
"8077","8076","1","3834"
"8092","8091","1","3834"
"8102","8101","1","3834"
"8104","8103","1","3834"
"8116","8115","1","3834"
"8118","8117","1","3834"
"8129","8128","1","3834"
"8143","8142","1","3834"
"8148","8147","1","3834"
"8150","8149","1","3834"
"8173","8172","1","3834"
"8216","8215","1","3834"
"8220","8219","1","3834"
"8224","8223","1","3834"
"8226","8225","1","3834"
"8229","8228","1","3834"
"8233","8232","1","3834"
"8273","8272","1","3834"
"8277","8276","1","3834"
"8316","8315","1","3834"
"8319","8318","1","3834"
"8325","8324","1","3834"
"8337","8336","1","3834"
"8384","8383","1","3834"
"8392","8391","1","3834"
"8409","8408","1","3834"
"8431","8430","1","3834"
"8484","8483","1","3834"
"8486","8485","1","3834"
"8491","8490","1","3834"
"8495","8494","1","3834"
"8497","8496","1","3834"
"8502","8501","1","3834"
"8504","8503","1","3834"
"8506","8505","1","3834"
"8509","8508","1","3834"
"8511","8510","1","3834"
"8514","8513","1","3834"
"8516","8515","1","3834"
"8518","8517","1","3834"
"8524","8523","1","3834"
"8530","8529","1","3834"
"8534","8533","1","3834"
"8539","8537","1","3834"
"8539","8538","2","3834"
"8584","8583","1","3834"
"8594","8593","1","3834"
"8596","8595","1","3834"
"8598","8597","1","3834"
"8603","8599","1","3834"
"8603","8601","2","3834"
"8603","8602","3","3834"
"8605","8604","1","3834"
"8621","8620","1","3834"
"8625","8624","1","3834"
"8657","8656","1","3834"
"8663","8662","1","3834"
"8665","8664","1","3834"
"8678","8677","1","3834"
"8680","8679","1","3834"
"8685","8684","1","3834"
"8721","8720","1","3834"
"8726","8725","1","3834"
"8734","8731","1","3834"
"8734","8732","2","3834"
"8734","8733","3","3834"
"8738","8737","1","3834"
"8746","8745","1","3834"
"8751","8750","1","3834"
"8762","8761","1","3834"
"8767","8766","1","3834"
"8770","8769","1","3834"
"8774","8773","1","3834"
"8776","8775","1","3834"
"8780","8779","1","3834"
"8789","8788","1","3834"
"8796","8795","1","3834"
"9009","9008","1","3834"
"9019","9018","1","3834"
"9057","9056","1","3834"
"9059","9058","1","3834"
"9061","9060","1","3834"
"9063","9062","1","3834"
"9070","9069","1","3834"
"9084","9083","1","3834"
"9089","9088","1","3834"
"9093","9092","1","3834"
"9100","7909","1","3834"
"9100","9099","2","3834"
"9104","9103","1","3834"
"9121","9120","1","3834"
"9123","9122","1","3834"
"9127","9126","1","3834"
"9136","9135","1","3834"
"9143","9142","1","3834"
"9150","9149","1","3834"
"9167","9163","1","3834"
"9167","9164","2","3834"
"9167","9165","3","3834"
"9167","9166","4","3834"
"9169","9168","1","3834"
"9173","9172","1","3834"
"9186","9185","1","3834"
"9188","9187","1","3834"
"9206","9205","1","3834"
"9227","9226","1","3834"
"9245","9244","1","3834"
"9256","9255","1","3834"
"9261","9260","1","3834"
"9263","9262","1","3834"
"9265","9264","1","3834"
"9271","9270","1","3834"
"9275","9272","1","3834"
"9275","9274","2","3834"
"9336","9335","1","3834"
"9343","9342","1","3834"
"9345","9344","1","3834"
"9347","9346","1","3834"
"9349","9348","1","3834"
"9376","9374","1","3834"
"9376","9375","2","3834"
"9378","9377","1","3834"
"9383","9382","1","3834"
"9399","9337","1","3834"
"9399","9398","2","3834"
"9405","9391","1","3834"
"9405","9404","2","3834"
"9415","9414","1","3834"
"9420","9419","1","3834"
"9431","9430","1","3834"
"9433","9432","1","3834"
"9437","9436","1","3834"
"9439","9438","1","3834"
"9442","9441","1","3834"
"9445","9444","1","3834"
"9448","9447","1","3834"
"9451","9450","1","3834"
"9454","9453","1","3834"
"9457","9456","1","3834"
"9459","9458","1","3834"
"9461","9460","1","3834"
"9463","9462","1","3834"
"9465","9464","1","3834"
"9481","9480","1","3834"
"9507","9505","1","3834"
"9507","9506","2","3834"
"9512","9511","1","3834"
"9515","9514","1","3834"
"9539","9538","1","3834"
"9544","9543","1","3834"
"9546","9545","1","3834"
"9586","9585","1","3834"
"9591","9590","1","3834"
"9593","9592","1","3834"
"9596","9595","1","3834"
"9599","9598","1","3834"
"9602","9601","1","3834"
"9628","9627","1","3834"
"9653","9652","1","3834"
"9656","9655","1","3834"
"9662","9661","1","3834"
"9665","9664","1","3834"
"9673","9672","1","3834"
"9681","9679","1","3834"
"9681","9680","2","3834"
"9692","7909","1","3834"
"9692","9690","2","3834"
"9704","9702","1","3834"
"9704","9703","2","3834"
"9708","9707","1","3834"
"9710","9709","1","3834"
"9727","9725","1","3834"
"9727","9726","2","3834"
"9735","9702","1","3834"
"9735","9734","2","3834"
"9740","9702","1","3834"
"9740","9739","2","3834"
"9766","9765","1","3834"
"9768","9767","1","3834"
"9770","9769","1","3834"
"9776","9775","1","3834"
"9780","9702","1","3834"
"9780","9779","2","3834"
"9787","9786","1","3834"
"9787","9739","2","3834"
"9792","9791","1","3834"
"9794","9793","1","3834"
"9800","9799","1","3834"
"9814","9813","1","3834"
"9815","9786","1","3834"
"9815","9703","2","3834"
"9825","9824","1","3834"
"9830","9829","1","3834"
"9833","9831","1","3834"
"9833","9832","2","3834"
"9836","9835","1","3834"
"9847","9845","1","3834"
"9847","9846","2","3834"
"9907","9906","1","3834"
"9911","9910","1","3834"
"9914","9538","1","3834"
"9914","9279","2","3834"
"9914","9280","3","3834"
"9917","9538","1","3834"
"9917","9279","2","3834"
"9917","9916","3","3834"
"9948","9947","1","3834"
"9971","9970","1","3834"
"9980","9979","1","3834"
"9983","9981","1","3834"
"9983","9982","2","3834"
"9985","9984","1","3834"
"10000","9999","1","3834"
"10008","9928","1","3834"
"10008","10007","2","3834"
"10053","10052","1","3834"
"10056","10055","1","3834"
"10070","10069","1","3834"
"10076","10075","1","3834"
"10082","10081","1","3834"
"10089","10087","1","3834"
"10089","10088","2","3834"
"10112","10111","1","3834"
"10112","10088","2","3834"
"10213","10212","1","3834"
"10217","10216","1","3834"
"10219","10218","1","3834"
"10235","10234","1","3834"
"10299","10298","1","3834"
"10329","10327","1","3834"
"10329","10328","2","3834"
"10331","9142","1","3834"
"10331","10330","2","3834"
"10335","10334","1","3834"
"10347","10346","1","3834"
"10351","10350","1","3834"
"10361","10360","1","3834"
"10363","10362","1","3834"
"10368","10367","1","3834"
"10386","10062","1","3834"
"10386","10066","2","3834"
"10405","10404","1","3834"
"10433","10432","1","3834"
"10435","10434","1","3834"
"10438","10436","1","3834"
"10438","10437","2","3834"
"10440","10439","1","3834"
"10448","10447","1","3834"
"10450","10449","1","3834"
"10456","10455","1","3834"
"10460","10459","1","3834"
"10463","10461","1","3834"
"10463","10462","2","3834"
"10472","10471","1","3834"
"10475","10111","1","3834"
"10475","10474","2","3834"
"10477","10476","1","3834"
"10541","10540","1","3834"
"10594","10593","1","3834"
"10594","10393","2","3834"
"10601","9099","1","3834"
"10620","10619","1","3834"
"10658","10657","1","3834"
"10659","10652","1","3834"
"10660","10653","1","3834"
"10662","10655","1","3834"
"10667","10666","1","3834"
"10687","10686","1","3834"
"10727","9986","1","3834"
"10727","10726","2","3834"
"10727","10596","3","3834"
"10749","10748","1","3834"
"10751","10750","1","3834"
"10753","10752","1","3834"
"10757","10756","1","3834"
"10759","10758","1","3834"
"10765","10764","1","3834"
"10767","10766","1","3834"
"10771","10768","1","3834"
"10771","10769","2","3834"
"10771","10770","3","3834"
"10773","10772","1","3834"
"10776","10775","1","3834"
"10778","10777","1","3834"
"10780","10779","1","3834"
"10782","10781","1","3834"
"10788","10787","1","3834"
"10790","10789","1","3834"
"10796","10793","1","3834"
"10796","10795","2","3834"
"10800","10799","1","3834"
"10800","10795","2","3834"
"10828","10827","1","3834"
"10832","10831","1","3834"
"10842","10841","1","3834"
"10848","10847","1","3834"
"10859","10858","1","3834"
"10861","10860","1","3834"
"10877","10876","1","3834"
"10880","10879","1","3834"
"10947","10946","1","3834"
"10959","10647","1","3834"
"10961","10960","1","3834"
"10963","10962","1","3834"
"10972","10971","1","3834"
"10987","10986","1","3834"
"10999","10998","1","3834"
"11106","11105","1","3834"
"11155","11154","1","3834"
"11189","11188","1","3834"
"11196","11195","1","3834"
"11203","11202","1","3834"
"11212","11211","1","3834"
"11237","11236","1","3834"
"11245","11244","1","3834"
"11253","11252","1","3834"
"11262","11261","1","3834"
"11280","11279","1","3834"
"11294","11292","1","3834"
"11294","11293","2","3834"
"11308","11307","1","3834"
"11327","11325","1","3834"
"11327","11326","2","3834"
"11332","11331","1","3834"
"11365","11364","1","3834"
"11371","11370","1","3834"
"11381","11380","1","3834"
"11383","11382","1","3834"
"11389","11388","1","3834"
"11404","11403","1","3834"
"11406","11405","1","3834"
"11438","11437","1","3834"
"11466","10196","1","3834"
"11466","10197","2","3834"
"11466","10198","3","3834"
"11466","10199","4","3834"
"11475","11474","1","3834"
"11476","9536","1","3834"
"11478","11477","1","3834"
"11485","11484","1","3834"
"11494","11493","1","3834"
"11496","11495","1","3834"
"11501","11500","1","3834"
"11507","11506","1","3834"
"11510","11509","1","3834"
"11518","11515","1","3834"
"11518","11516","2","3834"
"11518","11517","3","3834"
"11530","11529","1","3834"
"11535","11534","1","3834"
"11538","11537","1","3834"
"11569","11568","1","3834"
"11571","11570","1","3834"
"11573","11572","1","3834"
"11593","11592","1","3834"
"11600","11599","1","3834"
"11607","11606","1","3834"
"11611","11610","1","3834"
"11646","11644","1","3834"
