pbs_code,organisation_id,schedule_code
"100G","3","3834"
"100G","34","3834"
"100G","57","3834"
"100G","1408","3834"
"100G","1410","3834"
"104L","4","3834"
"105M","4","3834"
"106N","4","3834"
"108Q","4","3834"
"113Y","4","3834"
"117E","4","3834"
"117E","34","3834"
"117E","57","3834"
"117E","1408","3834"
"122K","3","3834"
"122K","34","3834"
"122K","1408","3834"
"127Q","34","3834"
"127Q","1408","3834"
"128R","3","3834"
"128R","34","3834"
"128R","57","3834"
"128R","1408","3834"
"132Y","1409","3834"
"156F","4","3834"
"173D","4","3834"
"183P","3","3834"
"183P","5","3834"
"183P","34","3834"
"187W","4","3834"
"189Y","3","3834"
"189Y","1408","3834"
"191C","3","3834"
"191C","4","3834"
"193E","4","3834"
"202P","3","3834"
"214G","3","3834"
"214G","4","3834"
"224T","4","3834"
"228B","4","3834"
"241Q","5","3834"
"251F","4","3834"
"258N","34","3834"
"258N","57","3834"
"258N","1408","3834"
"265Y","4","3834"
"269E","4","3834"
"271G","5","3834"
"271G","57","3834"
"285B","4","3834"
"304B","4","3834"
"307E","34","3834"
"307E","57","3834"
"307E","1408","3834"
"309G","4","3834"
"310H","4","3834"
"310H","57","3834"
"324C","3","3834"
"324C","5","3834"
"324C","34","3834"
"328G","3","3834"
"328G","34","3834"
"328G","57","3834"
"328G","1408","3834"
"332L","3","3834"
"337R","34","3834"
"337R","57","3834"
"337R","1408","3834"
"339W","5","3834"
"341Y","3","3834"
"341Y","4","3834"
"341Y","34","3834"
"341Y","57","3834"
"341Y","1408","3834"
"341Y","1410","3834"
"342B","3","3834"
"342B","34","3834"
"342B","57","3834"
"349J","34","3834"
"349J","57","3834"
"349J","1408","3834"
"352M","3","3834"
"352M","34","3834"
"352M","57","3834"
"352M","1408","3834"
"363D","3","3834"
"363D","57","3834"
"364E","5","3834"
"365F","5","3834"
"368J","34","3834"
"383E","4","3834"
"384F","3","3834"
"384F","34","3834"
"384F","57","3834"
"385G","4","3834"
"386H","3","3834"
"386H","34","3834"
"386H","57","3834"
"386H","1408","3834"
"389L","5","3834"
"390M","34","3834"
"397X","3","3834"
"399B","4","3834"
"399B","1408","3834"
"410N","4","3834"
"416X","4","3834"
"418B","4","3834"
"420D","3","3834"
"420D","4","3834"
"420D","34","3834"
"420D","57","3834"
"420D","1408","3834"
"422F","5","3834"
"425J","3","3834"
"425J","4","3834"
"425J","34","3834"
"425J","1408","3834"
"433T","4","3834"
"452T","3","3834"
"452T","4","3834"
"452T","34","3834"
"452T","1408","3834"
"452T","1410","3834"
"456B","4","3834"
"457C","4","3834"
"457C","34","3834"
"466M","5","3834"
"477D","3","3834"
"477D","34","3834"
"477D","57","3834"
"477D","1408","3834"
"479F","3","3834"
"479F","4","3834"
"480G","3","3834"
"480G","34","3834"
"480G","57","3834"
"480G","1408","3834"
"483K","3","3834"
"483K","34","3834"
"483K","57","3834"
"483K","1408","3834"
"500H","57","3834"
"500H","1408","3834"
"502K","3","3834"
"502K","4","3834"
"516E","4","3834"
"516E","34","3834"
"516E","57","3834"
"532B","34","3834"
"532B","1408","3834"
"540K","4","3834"
"542M","4","3834"
"544P","4","3834"
"544P","34","3834"
"544P","57","3834"
"544P","1408","3834"
"575G","4","3834"
"590C","3","3834"
"590C","34","3834"
"590C","1408","3834"
"592E","34","3834"
"592E","57","3834"
"592E","1408","3834"
"594G","3","3834"
"594G","1408","3834"
"595H","34","3834"
"595H","57","3834"
"598L","4","3834"
"600N","4","3834"
"612F","4","3834"
"653J","4","3834"
"656M","4","3834"
"660R","3","3834"
"660R","34","3834"
"660R","1408","3834"
"664Y","4","3834"
"672J","3","3834"
"672J","34","3834"
"672J","57","3834"
"672J","1408","3834"
"672J","1410","3834"
"674L","4","3834"
"678Q","4","3834"
"692K","3","3834"
"692K","57","3834"
"700W","3","3834"
"700W","1408","3834"
"702Y","3","3834"
"702Y","34","3834"
"702Y","57","3834"
"702Y","1408","3834"
"703B","3","3834"
"703B","5","3834"
"703B","57","3834"
"705D","3","3834"
"705D","57","3834"
"710J","1409","3834"
"712L","5","3834"
"713M","1408","3834"
"715P","3","3834"
"715P","34","3834"
"715P","57","3834"
"715P","1408","3834"
"715P","1410","3834"
"716Q","34","3834"
"716Q","57","3834"
"716Q","1408","3834"
"717R","5","3834"
"718T","4","3834"
"719W","34","3834"
