pbs_code,prescribing_txt_id,pt_position,schedule_code
"10001J","7606","1","3834"
"10001J","7607","2","3834"
"10011X","32002","1","3834"
"10017F","8541","1","3834"
"10021K","8541","1","3834"
"10023M","8541","1","3834"
"10029W","8541","1","3834"
"10032B","32001","1","3834"
"10032B","32002","2","3834"
"10033C","32001","1","3834"
"10033C","32002","2","3834"
"10035E","32001","1","3834"
"10035E","32002","2","3834"
"10038H","32001","1","3834"
"10038H","32002","2","3834"
"10041L","7606","1","3834"
"10041L","7607","2","3834"
"10041L","7608","3","3834"
"10042M","7606","1","3834"
"10042M","7607","2","3834"
"10042M","7608","3","3834"
"10044P","32001","1","3834"
"10044P","32002","2","3834"
"10045Q","32001","1","3834"
"10045Q","32002","2","3834"
"10048W","32001","1","3834"
"10048W","32002","2","3834"
"10051B","32001","1","3834"
"10051B","32002","2","3834"
"10053D","14807","1","3834"
"10055F","32001","1","3834"
"10055F","32002","2","3834"
"10056G","33077","1","3834"
"10056G","28500","2","3834"
"10057H","23973","1","3834"
"10057H","7607","2","3834"
"10058J","27706","1","3834"
"10060L","33077","1","3834"
"10060L","28500","2","3834"
"10061M","10333","1","3834"
"10061M","33164","2","3834"
"10061M","29791","3","3834"
"10064Q","33077","1","3834"
"10064Q","28500","2","3834"
"10066T","7606","1","3834"
"10066T","7607","2","3834"
"10067W","23973","1","3834"
"10068X","33077","1","3834"
"10068X","28500","2","3834"
"10071C","27706","1","3834"
"10072D","27706","1","3834"
"10073E","27706","1","3834"
"10074F","7606","1","3834"
"10074F","7607","2","3834"
"10076H","7606","1","3834"
"10076H","7607","2","3834"
"10077J","33077","1","3834"
"10077J","28500","2","3834"
"10078K","27706","1","3834"
"10079L","33077","1","3834"
"10079L","28500","2","3834"
"1007B","13203","1","3834"
"10081N","27706","1","3834"
"10086W","25796","1","3834"
"10087X","25796","1","3834"
"10089B","32001","1","3834"
"10089B","32002","2","3834"
"10090C","32001","1","3834"
"10090C","32002","2","3834"
"10091D","8211","1","3834"
"10091D","25651","2","3834"
"10091D","25574","3","3834"
"10092E","8211","1","3834"
"10092E","25651","2","3834"
