program_code,dispensing_rule_mnem,markup_band_code,limit,variable,offset,fixed,schedule_code
"CA","s90-cp-s100","A","0.01","0.00","0.00","0","3834"
"CA","s90-cp-s100","D","0.01","10.00","0.00","0","3834"
"CA","s90-cp-s100","D","40.01","0.00","0.00","4","3834"
"CA","s90-cp-s100","D","100.01","4.00","0.00","0","3834"
"CA","s90-cp-s100","D","1000.01","0.00","0.00","40","3834"
"CA","s94-private-s100","A","0.01","0.00","0.00","0","3834"
"CA","s94-private-s100","D","0.01","10.00","0.00","0","3834"
"CA","s94-private-s100","D","40.01","0.00","0.00","4","3834"
"CA","s94-private-s100","D","100.01","4.00","0.00","0","3834"
"CA","s94-private-s100","D","1000.01","0.00","0.00","40","3834"
"CA","s94-public-s100","A","0.01","0.00","0.00","0","3834"
"CT","s94-public-s100","A","0.01","0.00","0.00","0","3834"
"DB","s90-cp","A","0.01","0.00","0.00","0","3834"
"DB","s90-cp","C","0.01","0.00","0.00","4.91","3834"
"DB","s90-cp","C","100","5.00","-100.00","4.91","3834"
"DB","s90-cp","C","2000.01","0.00","0.00","99.91","3834"
"DB","s90-cp","W","0.01","0.00","0.00","0.41","3834"
"DB","s90-cp","W","5.51","7.52","0.00","0","3834"
"DB","s90-cp","W","720.01","0.00","0.00","54.14","3834"
"EP","combined","A","0.01","0.00","0.00","0","3834"
"EP","combined","C","0.01","0.00","0.00","4.91","3834"
"EP","combined","C","100","5.00","-100.00","4.91","3834"
"EP","combined","C","2000.01","0.00","0.00","99.91","3834"
"GE","s90-cp","A","0.01","0.00","0.00","0","3834"
"GE","s90-cp","C","0.01","0.00","0.00","4.91","3834"
"GE","s90-cp","C","100","5.00","-100.00","4.91","3834"
"GE","s90-cp","C","2000.01","0.00","0.00","99.91","3834"
"GE","s90-cp","W","0.01","0.00","0.00","0.41","3834"
"GE","s90-cp","W","5.51","7.52","0.00","0","3834"
"GE","s90-cp","W","720.01","0.00","0.00","54.14","3834"
"GE","s94-private","A","0.01","0.00","0.00","0","3834"
"GE","s94-private","D","0.01","1.40","0.00","0","3834"
"GE","s94-private","W","0.01","0.00","0.00","0.41","3834"
"GE","s94-private","W","5.51","7.52","0.00","0","3834"
"GE","s94-private","W","720.01","0.00","0.00","54.14","3834"
"GE","s94-public","A","0.01","0.00","0.00","0","3834"
"GE","s94-public","W","0.01","0.00","0.00","0.41","3834"
"GE","s94-public","W","5.51","7.52","0.00","0","3834"
"GE","s94-public","W","720.01","0.00","0.00","54.14","3834"
"GH","s90-cp-s100","A","0.01","0.00","0.00","0","3834"
"GH","s90-cp-s100","D","0.01","10.00","0.00","0","3834"
"GH","s90-cp-s100","D","40.01","0.00","0.00","4","3834"
"GH","s90-cp-s100","D","100.01","4.00","0.00","0","3834"
"GH","s90-cp-s100","D","1000.01","0.00","0.00","40","3834"
"GH","s94-private-s100","A","0.01","0.00","0.00","0","3834"
"GH","s94-private-s100","D","0.01","10.00","0.00","0","3834"
"GH","s94-private-s100","D","40.01","0.00","0.00","4","3834"
"GH","s94-private-s100","D","100.01","4.00","0.00","0","3834"
"GH","s94-private-s100","D","1000.01","0.00","0.00","40","3834"
"GH","s94-public-s100","A","0.01","0.00","0.00","0","3834"
"HB","s94-public-s100","A","0.01","0.00","0.00","0","3834"
"HS","s94-private-s100","A","0.01","0.00","0.00","0","3834"
"HS","s94-private-s100","D","0.01","10.00","0.00","0","3834"
"HS","s94-private-s100","D","40.01","0.00","0.00","4","3834"
"HS","s94-private-s100","D","100.01","4.00","0.00","0","3834"
"HS","s94-private-s100","D","1000.01","0.00","0.00","40","3834"
"IF","s90-cp-s100","A","0.01","0.00","0.00","0","3834"
"IF","s90-cp-s100","D","0.01","10.00","0.00","0","3834"
"IF","s90-cp-s100","D","40.01","0.00","0.00","4","3834"
"IF","s90-cp-s100","D","100.01","4.00","0.00","0","3834"
"IF","s90-cp-s100","D","1000.01","0.00","0.00","40","3834"
"IF","s94-private-s100","A","0.01","0.00","0.00","0","3834"
"IF","s94-private-s100","D","0.01","10.00","0.00","0","3834"
"IF","s94-private-s100","D","40.01","0.00","0.00","4","3834"
"IF","s94-private-s100","D","100.01","4.00","0.00","0","3834"
"IF","s94-private-s100","D","1000.01","0.00","0.00","40","3834"
"IF","s94-public-s100","A","0.01","0.00","0.00","0","3834"
"IN","s90-cp","A","0.01","0.00","0.00","0","3834"
"IN","s90-cp","C","0.01","0.00","0.00","4.91","3834"
"IN","s90-cp","C","100","5.00","-100.00","4.91","3834"
