pbs_code,prescriber_code,prescriber_type,schedule_code
"10001J","M","Medical Practitioners","3834"
"10001J","N","Nurse Practitioners","3834"
"10003L","M","Medical Practitioners","3834"
"10004M","M","Medical Practitioners","3834"
"10005N","M","Medical Practitioners","3834"
"10005N","N","Nurse Practitioners","3834"
"10007Q","M","Medical Practitioners","3834"
"10007Q","N","Nurse Practitioners","3834"
"10008R","M","Medical Practitioners","3834"
"10008R","N","Nurse Practitioners","3834"
"10009T","M","Medical Practitioners","3834"
"10010W","M","Medical Practitioners","3834"
"10011X","M","Medical Practitioners","3834"
"10011X","N","Nurse Practitioners","3834"
"10012Y","M","Medical Practitioners","3834"
"10012Y","N","Nurse Practitioners","3834"
"10014C","M","Medical Practitioners","3834"
"10015D","M","Medical Practitioners","3834"
"10015D","N","Nurse Practitioners","3834"
"10017F","M","Medical Practitioners","3834"
"10018G","M","Medical Practitioners","3834"
"10018G","N","Nurse Practitioners","3834"
"10019H","M","Medical Practitioners","3834"
"10020J","M","Medical Practitioners","3834"
"10021K","M","Medical Practitioners","3834"
"10022L","M","Medical Practitioners","3834"
"10023M","M","Medical Practitioners","3834"
"10025P","M","Medical Practitioners","3834"
"10028T","M","Medical Practitioners","3834"
"10029W","M","Medical Practitioners","3834"
"1002R","M","Medical Practitioners","3834"
"1002R","N","Nurse Practitioners","3834"
"10032B","M","Medical Practitioners","3834"
"10032B","N","Nurse Practitioners","3834"
"10033C","M","Medical Practitioners","3834"
"10033C","N","Nurse Practitioners","3834"
"10034D","M","Medical Practitioners","3834"
"10034D","N","Nurse Practitioners","3834"
"10035E","M","Medical Practitioners","3834"
"10035E","N","Nurse Practitioners","3834"
"10036F","M","Medical Practitioners","3834"
"10036F","N","Nurse Practitioners","3834"
"10038H","M","Medical Practitioners","3834"
"10038H","N","Nurse Practitioners","3834"
"10039J","M","Medical Practitioners","3834"
"10039J","N","Nurse Practitioners","3834"
"1003T","M","Medical Practitioners","3834"
"1003T","N","Nurse Practitioners","3834"
"10041L","M","Medical Practitioners","3834"
"10042M","M","Medical Practitioners","3834"
"10043N","M","Medical Practitioners","3834"
"10044P","M","Medical Practitioners","3834"
"10044P","N","Nurse Practitioners","3834"
"10045Q","M","Medical Practitioners","3834"
"10045Q","N","Nurse Practitioners","3834"
"10046R","M","Medical Practitioners","3834"
"10046R","N","Nurse Practitioners","3834"
"10047T","M","Medical Practitioners","3834"
"10048W","M","Medical Practitioners","3834"
"10048W","N","Nurse Practitioners","3834"
"1004W","M","Medical Practitioners","3834"
"1004W","N","Nurse Practitioners","3834"
"10051B","M","Medical Practitioners","3834"
"10051B","N","Nurse Practitioners","3834"
"10052C","M","Medical Practitioners","3834"
"10053D","O","Optometrist","3834"
"10054E","M","Medical Practitioners","3834"
"10055F","M","Medical Practitioners","3834"
"10055F","N","Nurse Practitioners","3834"
"10056G","M","Medical Practitioners","3834"
"10057H","M","Medical Practitioners","3834"
"10058J","M","Medical Practitioners","3834"
"10059K","M","Medical Practitioners","3834"
"10059K","N","Nurse Practitioners","3834"
"10060L","M","Medical Practitioners","3834"
"10061M","M","Medical Practitioners","3834"
"10061M","N","Nurse Practitioners","3834"
"10062N","M","Medical Practitioners","3834"
"10064Q","M","Medical Practitioners","3834"
"10066T","M","Medical Practitioners","3834"
"10066T","N","Nurse Practitioners","3834"
"10067W","M","Medical Practitioners","3834"
"10068X","M","Medical Practitioners","3834"
"10069Y","M","Medical Practitioners","3834"
