res_code,prescribing_text_id,pt_position,schedule_code
"10041_6898_R","13031","1","3834"
"10041_6898_R","20477","2","3834"
"10041_6898_R","13035","3","3834"
"10041_6898_R","13037","4","3834"
"10041_6898_R","8116","5","3834"
"10041_6898_R","13039","6","3834"
"10041_6898_R","20479","7","3834"
"10045_10033_R","8676","1","3834"
"10045_10033_R","18397","2","3834"
"10046_10021_R","13047","1","3834"
"10046_10021_R","13049","2","3834"
"10046_10021_R","18478","3","3834"
"10046_10021_R","25220","4","3834"
"10046_10021_R","13053","5","3834"
"10046_10021_R","25223","6","3834"
"10046_10021_R","25225","7","3834"
"10046_10021_R","25226","8","3834"
"10046_10021_R","25227","9","3834"
"10046_10021_R","25228","10","3834"
"10046_10021_R","25229","11","3834"
"10046_10021_R","25230","12","3834"
"10046_10021_R","25231","13","3834"
"10058_10051_R","8676","1","3834"
"10058_10051_R","12147","2","3834"
"10059_10020_R","13047","1","3834"
"10059_10020_R","13049","2","3834"
"10059_10020_R","18478","3","3834"
"10059_10020_R","13053","4","3834"
"10059_10020_R","21090","5","3834"
"10059_10020_R","25233","6","3834"
"10061_10061_R","19444","1","3834"
"10061_10061_R","22958","2","3834"
"10061_10061_R","23146","3","3834"
"10061_10061_R","7890","4","3834"
"10061_10061_R","8384","5","3834"
"10061_10061_R","22959","6","3834"
"10061_10061_R","23147","7","3834"
"10063_10063_R","11306","1","3834"
"10063_10063_R","13591","2","3834"
"10063_10063_R","25273","3","3834"
"10063_10063_R","13190","4","3834"
"10063_10063_R","11365","5","3834"
"10063_10063_R","11328","6","3834"
"10063_10063_R","25278","7","3834"
"10063_10063_R","13202","8","3834"
"10067_10067_R","11306","1","3834"
"10067_10067_R","13591","2","3834"
"10067_10067_R","25273","3","3834"
"10067_10067_R","13190","4","3834"
"10067_10067_R","11365","5","3834"
"10067_10067_R","11328","6","3834"
"10067_10067_R","25278","7","3834"
"10067_10067_R","13202","8","3834"
"10068_10068_R","11306","1","3834"
"10068_10068_R","25273","2","3834"
"10068_10068_R","13190","3","3834"
"10068_10068_R","11327","4","3834"
"10068_10068_R","11328","5","3834"
"10068_10068_R","25278","6","3834"
"10072_10077_R","19444","1","3834"
"10072_10077_R","22958","2","3834"
"10072_10077_R","23146","3","3834"
"10072_10077_R","7890","4","3834"
"10072_10077_R","8384","5","3834"
"10072_10077_R","22959","6","3834"
"10072_10077_R","23147","7","3834"
"10073_10073_R","11306","1","3834"
"10073_10073_R","13591","2","3834"
"10073_10073_R","25273","3","3834"
"10073_10073_R","13190","4","3834"
"10073_10073_R","11308","5","3834"
"10073_10073_R","25277","6","3834"
"10073_10073_R","11319","7","3834"
"10073_10073_R","25274","8","3834"
"10073_10073_R","13202","9","3834"
"10075_10075_R","19444","1","3834"
"10075_10075_R","11365","2","3834"
"10075_10075_R","22958","3","3834"
"10075_10075_R","23146","4","3834"
"10075_10075_R","7890","5","3834"
"10075_10075_R","8384","6","3834"
"10075_10075_R","22959","7","3834"
"10075_10075_R","23147","8","3834"
"10080_10076_R","10616","1","3834"
"10080_10076_R","11332","2","3834"
"10080_10076_R","10620","3","3834"
"10080_10076_R","10617","4","3834"
"10080_10076_R","24053","5","3834"
"10086_10121_R","9286","1","3834"
"10086_10121_R","25314","2","3834"
"10086_10121_R","25316","3","3834"
"10086_10121_R","10412","4","3834"
"10086_10121_R","21821","5","3834"
"10086_10121_R","21823","6","3834"
"10086_10121_R","21824","7","3834"
"10087_10157_R","8676","1","3834"
"10087_10157_R","9245","2","3834"
"10087_10157_R","25350","3","3834"
"10087_10157_R","25352","4","3834"
"10087_10157_R","7601","5","3834"
"10087_10157_R","9251","6","3834"
"10089_4295_R","9229","1","3834"
"10089_4295_R","25296","2","3834"
"10095_10095_R","25271","1","3834"
"10095_10095_R","25319","2","3834"
"10095_10095_R","18066","3","3834"
"10111_10130_R","24811","1","3834"
"10111_10130_R","24823","2","3834"
"10111_10130_R","24827","3","3834"
"10111_10130_R","25367","4","3834"
"10129_10148_R","24811","1","3834"
"10129_10148_R","24813","2","3834"
"10129_10148_R","9245","3","3834"
"10129_10148_R","10299","4","3834"
"10129_10148_R","24815","5","3834"
"10129_10148_R","24817","6","3834"
"10129_10148_R","23857","7","3834"
"10129_10148_R","25367","8","3834"
"10138_10138_R","14844","1","3834"
"10138_10138_R","14847","2","3834"
"10138_10138_R","18699","3","3834"
"10138_10138_R","14857","4","3834"
"10161_10161_R","14844","1","3834"
"10161_10161_R","14847","2","3834"
"10161_10161_R","18699","3","3834"
"10161_10161_R","14857","4","3834"
"10164_10125_R","21331","1","3834"
"10164_10125_R","24557","2","3834"
"10164_10125_R","24559","3","3834"
"10164_10125_R","10859","4","3834"
"10164_10125_R","24563","5","3834"
"10164_10125_R","24565","6","3834"
"10164_10125_R","25354","7","3834"
"10185_5883_R","13123","1","3834"
"10200_10116_R","9007","1","3834"
"10200_10116_R","9019","2","3834"
"10205_10206_R","24247","1","3834"
"10205_10206_R","8594","2","3834"
"10205_10206_R","10859","3","3834"
"10205_10206_R","25340","4","3834"
"10211_10310_R","25505","1","3834"
"10211_10310_R","11365","2","3834"
"10211_10310_R","21809","3","3834"
"10211_10310_R","7890","4","3834"
"10249_10248_R","12934","1","3834"
"10249_10248_R","18320","2","3834"
"10249_10248_R","18322","3","3834"
"10249_10248_R","8325","4","3834"
"10249_10248_R","25567","5","3834"
"10252_10252_R","25505","1","3834"
"10252_10252_R","10299","2","3834"
"10252_10252_R","25504","3","3834"
"10252_10252_R","7890","4","3834"
"10252_10252_R","10024","5","3834"
"10253_10212_R","7754","1","3834"
"10253_10212_R","24648","2","3834"
"10253_10212_R","7745","3","3834"
"10253_10212_R","25631","4","3834"
"10253_10212_R","24636","5","3834"
"10257_10257_R","21331","1","3834"
"10257_10257_R","25498","2","3834"
"10257_10257_R","24587","3","3834"
"10257_10257_R","9256","4","3834"
"10257_10257_R","7890","5","3834"
"10258_10215_R","8031","1","3834"
"10258_10215_R","11365","2","3834"
"10258_10215_R","7890","3","3834"
"10258_10215_R","9256","4","3834"
"10267_10268_R","12934","1","3834"
"10267_10268_R","18320","2","3834"
"10267_10268_R","18322","3","3834"
"10267_10268_R","9057","4","3834"
"10267_10268_R","25567","5","3834"
"10267_10268_R","7606","6","3834"
"10267_10268_R","7607","7","3834"
"10267_10268_R","7608","8","3834"
"10269_10306_R","8676","1","3834"
"10269_10306_R","7738","2","3834"
"10269_10306_R","25187","3","3834"
"10269_10306_R","9256","4","3834"
"10269_10306_R","9258","5","3834"
"10270_10271_R","8676","1","3834"
"10270_10271_R","9245","2","3834"
"10270_10271_R","25350","3","3834"
"10270_10271_R","25352","4","3834"
"10270_10271_R","7601","5","3834"
"10270_10271_R","9251","6","3834"
"10277_10216_R","21331","1","3834"
"10277_10216_R","24585","2","3834"
"10277_10216_R","24587","3","3834"
"10277_10216_R","9256","4","3834"
"10288_10250_R","19041","1","3834"
"10288_10250_R","13591","2","3834"
"10288_10250_R","22512","3","3834"
"10288_10250_R","23148","4","3834"
"10288_10250_R","22513","5","3834"
"10289_10328_R","8676","1","3834"
"10289_10328_R","25187","2","3834"
"10290_6013_R","8676","1","3834"
"10290_6013_R","7738","2","3834"
"10290_6013_R","9256","3","3834"
"10290_6013_R","9258","4","3834"
"10290_6013_R","9251","5","3834"
"10292_10213_R","7754","1","3834"
"10292_10213_R","11365","2","3834"
